"Type","KeyCite Treatment","KeyCite URL","Title","Document URL","Court Line","Filed Date","Citation","Cite Caveat","Parallel Cite","Docket Num","Summary","Search Snippet 1","Search Snippet 2",
"Cases","","","U.S. v. Carter","https://www.westlaw.com/Document/I67d70dcbd07e11e3b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fourth Circuit.","April 30, 2014","750 F.3d 462","","2014 WL 1689019","=""12-5045""","CRIMINAL JUSTICE - Weapons. Prohibition on possession of firearms while being unlawful user of a controlled substance advanced goal of preventing gun violence.","...use in adolescence and violence in young adulthood was not statistically significant. 14 In this instance, we do not think that the Wei study's failure to identify a statistically significant correlation is particularly relevant. 15 Indeed, we note that the...","...However, Wei and colleagues called this relationship spurious because the p- value was only 0.068. Id. at 178. FN15. First, we...",
"Cases","","","U.S. v. Harkonen","https://www.westlaw.com/Document/I98c45fdc851511e280719c3f0e80bdd0/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Ninth Circuit.","March 04, 2013","510 Fed.Appx. 633","","2013 WL 782354","11-10209, 11-10242","CRIMINAL JUSTICE - Fraud. Evidence was sufficient to support wire fraud conviction for issuing fraudulent press release regarding clinical drug trials.","...hoc analysis simply to see what that did to the p- value. Given his clear financial incentive to find a positive result...","",
"Cases","","","Bitton v. Gencor Nutrientes, Inc.","https://www.westlaw.com/Document/Id0554f403e0111e6accba36daa2dab8f/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Ninth Circuit.","June 28, 2016","654 Fed.Appx. 358","","2016 WL 3545346","14-56381","LITIGATION - Evidence. The accuracy of statements in an online, user-edited encyclopedia was not a proper subject for judicial notice.","...to show that the supplement increased free testosterone were not statistically significant, failed to state a claim under California's and New York's...","...retailers of a nutritional supplement that defendants falsely represented the statistical significance a scientific study which found defendants nutritional supplement increased free...",
"Cases","","","H.B. Rowe Co., Inc. v. Tippett","https://www.westlaw.com/Document/If54b13e5968111dfbe8a8e1700ec828b/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fourth Circuit.","July 22, 2010","615 F.3d 233","","2010 WL 2871076","=""09-1050""","GOVERNMENT CONTRACTS - Bidding. North Carolina's Minority Business Enterprise Program, as it related to African Americans and Native Americans, did not violate equal protection.","...substantially over-utilized women subcontractors on public road construction projects, statistical significance of private-sector data, which purported to demonstrate that women...","...each relevant racial or gender group, MGT tested for the statistical significance of the results by conducting standard deviation analysis through the...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I5df3e12c6c9f11e28a21ccb9036b2470&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Kleinman v. Elan Corp., plc","https://www.westlaw.com/Document/I5df3e12c6c9f11e28a21ccb9036b2470/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Second Circuit.","February 01, 2013","706 F.3d 145","","2013 WL 388006","11-3706-CV","SECURITIES REGULATION - Fraud. Omissions from press release describing preliminary clinical trial results for drug did not render release false or misleading.","...press release stated that although [t]he study did not attain statistical significance on the primary efficacy endpoints in the overall study population[, p]ost-hoc analyses did show statistically significant and clinically meaningful benefits in important subgroups. J.A. 237.  The...","...that Primary Efficacy Endpoints In Overall Study Population [Were] Not Statistically Significant. The positive results, the June press release stated, were seen...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I8bc95f6ac3e911de9988d233d23fe599&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Siracusano v. Matrixx Initiatives, Inc.","https://www.westlaw.com/Document/I8bc95f6ac3e911de9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Ninth Circuit.","October 28, 2009","585 F.3d 1167","","2009 WL 3448282","06-15677","SECURITIES REGULATION - Fraud. Investors pled scienter with requisite particularity under the Private Securities Litigation Reform Act.","...events associated with zinc gluconate was extremely low, with no statistically significant difference between the adverse event rates for the treated and...","...events associated with zinc gluconate was extremely low, with no statistically significant difference between the adverse event rates for the treated and...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Iea0a3c91cabb11e1b60ab297d3d07bc5&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Chin v. Port Authority of New York & New Jersey","https://www.westlaw.com/Document/Iea0a3c91cabb11e1b60ab297d3d07bc5/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Second Circuit.","July 10, 2012","685 F.3d 135","","2012 WL 2760776","10-1904-CV L, 10-2031-CV XAP","Background: Eleven Asian Americans currently or formerly employed as police officers by a bi-state transportation agency brought action against the agency under Title VII, alleging that they were passed over for promotions because of their race. The United States District Court for the Southern District of New York, Miriam Goldman Cedarbaum, J.,...","...statistics, a defendant may introduce evidence showing that either no statistically significant disparity in fact exists or that challenged practice did not...","...a disparity resulted from chance, it would not qualify as statistically significant, the plaintiffs offered other evidence that reasonable jurors could have...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ife426590b95511e4a807ad48145ed9f1&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","In re Celexa and Lexapro Marketing and Sales Practices Litigation","https://www.westlaw.com/Document/Ife426590b95511e4a807ad48145ed9f1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, First Circuit.","February 20, 2015","779 F.3d 34","","2015 WL 727970","=""14-1290""","PRODUCTS LIABILITY - Preemption. Federal Food, Drug, and Cosmetic Act's restrictions on changing FDA-approved labels preempted state consumer protection law claims.","...18 and Lexapro Study 32 found positive efficacy that was statistically significant, but only barely so. In March 2009, the FDA nevertheless...","...Rating ScaleRevised (CDRSR). In this study, Lexapro showed statistically significant greater mean improvement compared to placebo on the CDRSR...",
"Cases","","","Wells v. SmithKline Beecham Corp.","https://www.westlaw.com/Document/I0c90df9435e811df9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fifth Circuit.","March 22, 2010","601 F.3d 375","","2010 WL 1010591","09-50244","PRODUCTS LIABILITY - Warnings. Insufficient evidence was presented that use of drug could cause compulsive gambling.","...relied were either case-control studies that were bereft of statistically significant epidemiological support or had never been peer-reviewed or published...","...evidence, and each expert conceded that the studies were not statistically significant epidemiology.  They were, in fact, case studies.  Although, [c]ase-control...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ib34aeaf19fa311ddb6a3a099756c05b7&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Abbott Laboratories v. Sandoz, Inc.","https://www.westlaw.com/Document/Ib34aeaf19fa311ddb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Federal Circuit.","October 21, 2008","544 F.3d 1341","","2008 WL 4636167","2007-1300","PATENTS - Injunction. Patentee had substantial likelihood of success on merits of claim that patents were not unenforceable for inequitable conduct.","...this litigation Dr. Gustavson testified that she had not analyzed statistical significance, and that it could not definitively be concluded from the...","...Abbott did not dispute that Dr. Gustavson did not analyze statistical significance, but argued that it was not material to patentability and...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I891faf49985611e1b66bbd5332e2d275&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","U.S. ex rel. Jones v. Brigham and Women's Hosp.","https://www.westlaw.com/Document/I891faf49985611e1b66bbd5332e2d275/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, First Circuit.","May 07, 2012","678 F.3d 72","","2012 WL 1571232","=""10-2301""","GOVERNMENT - False Claims. Genuine issues of material fact precluded summary judgment in action under False Claims Act (FCA).","...prior to 1998, which had been used to demonstrate a statistically significant relationship between the volume of the EC and conversion to...","...to his analysis, the alterations were responsible for the apparent statistical significance.  Jones asked Albert to look into the issue. 7 FN6...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Idf9d2cb354ad11e085acc3f6d5ffa172&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Milward v. Acuity Specialty Products Group, Inc.","https://www.westlaw.com/Document/Idf9d2cb354ad11e085acc3f6d5ffa172/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, First Circuit.","March 22, 2011","639 F.3d 11","","2011 WL 982385","=""09-2270""","LITIGATION - Experts. Testimony by toxicology expert regarding causation between exposure to benzene and development of Leukemia was admissible.","...2009).  Dr. Smith noted that epidemiological studies have found a statistically significant increased incidence of AML in benzene-exposed workers and have...","...showed an increased risk factor for APL, which although not statistically significant was consistent with causality, and provided no grounds for concluding...",
"Cases","","","In re Navy Chaplaincy","https://www.westlaw.com/Document/Ib21837036f1311e3a659df62eba144e8/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, District of Columbia Circuit.","December 27, 2013","738 F.3d 425","","2013 WL 6819348","=""13-5071""","CIVIL RIGHTS - Religion. Statistics did not demonstrate pattern of discrimination motivated by discriminatory intent.","...reinforcement, plaintiffs cite their expert's opinion that this disparity is statistically significant.  The record does not explain the reasoning behind the choice...","...at 15.  But assuming arguendo that the methodology for determining statistical significance is reasonable, the finding does little for our analysis. Correlation...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ie97ae75af7e311e4b86bd602cb8781fa&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Brown v. Nucor Corp.","https://www.westlaw.com/Document/Ie97ae75af7e311e4b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fourth Circuit.","May 11, 2015","785 F.3d 895","","126 Fair Empl.Prac.Cas. (BNA) 1793","=""13-1779""","LABOR AND EMPLOYMENT - Class Actions. Employees satisfied commonality requirement for class certification in their Title VII failure to promote action.","...information was unavailable, which showed statistical disparity in promotions was statistically significant at 2.54 standard deviations from what would have been...","...alternative benchmark evidence included, the statistical disparity in promotions is statistically significant at 2.54 standard deviations from what would be expected...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I81750449cef011e4a807ad48145ed9f1&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Senju Pharmaceutical Co. v. Lupin Ltd.","https://www.westlaw.com/Document/I81750449cef011e4a807ad48145ed9f1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Federal Circuit.","March 20, 2015","780 F.3d 1337","","2015 WL 1260595","2013-1630","PATENTS - Drugs. District court properly determined patent claim for aqueous pharmaceutical composition was invalid for obviousness.","...this 0 simply signifies that the data did not reach statistical significance, even though one of ordinary skill reading Grass 1988I...","...corneal permeability, even though not all of the increases were statistically significant. J.A. 2780. Appellants improperly focus on the percentage change in...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I29b486545f0811e2a531ef6793d44951&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Tabor v. Hilti, Inc.","https://www.westlaw.com/Document/I29b486545f0811e2a531ef6793d44951/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Tenth Circuit.","January 15, 2013","703 F.3d 1206","","2013 WL 150225","=""11-5131""","LABOR AND EMPLOYMENT - Discrimination. Employee failed to show causal relationship between HR complaint and lowered rating, precluding Title VII retaliation claim.","...of the disparity between male and female promotions; (2) the statistical significance of the disparity, measured by standard error rate or standard...","...rates of male inside sales representatives and female representatives was statistically significant, as required for such evidence to be deemed reliable in...",
