case	answer	type	text
189	Incorrect	99	 General misunderstanding of statistical significance here
191	Incorrect	2	 Classic absence of evidence is not evidence of absence
192	Incorrect	2	 Too much weight given to statistical significance or not
194	Incorrect	3	 No indication of the size of the difference
197	Incorrect	2	 No mention of size
199	Correct	NA	Correct. Discussed as not being the absolute arbitor.
209	Incorrect	2	 Only wants to take the finding seriously if it is statistically significant
211	Correct	NA	Correct. Not perfect, but wording (which is cautious) is okay as it basically says there may be an association of interest. Misuse of "correlation" which should be "association". No mention of the size of the association.
214	Incorrect	2	 No idea of the size of the risk difference
215	Incorrect	2	 No idea of the size of the difference
221	Incorrect	2	 Although this interpretation includes size it still relies on the idea of statistical significance rather than the change in employment status
232	Incorrect	2	 No idea of the size of the difference
235	Incorrect	3	 Says nothing about the size of the decrease
236	Incorrect	3	 No idea of the size of the difference
237	Incorrect	3	 No idea of the size of the difference
238	Incorrect	3	 No information on size of change in risk
241	Correct	NA	Correct. Given in context with the important factor of size.
255	Correct	NA	Correct. Pointing out problem of relying solely on statistical significance.
257	Incorrect	2	 No idea of size
258	Correct	NA	Correct. Could be better worded as saying "unlikely due to chance" but overall is wisely cautious against the overuse of the p-value. Does not incorrectly say that p-value is the probability that findings were due to chance.
259	Incorrect	3	 No idea of the size of the difference
260	Incorrect	2	 No mention of power of the test
261	Incorrect	12	 Implies that whole decision should rest on significance or not
267	Incorrect	3	 Nothing given on the size of the difference
274	Incorrect	3	 No idea of the size of the difference
276	Incorrect	2	 No idea of the size of the difference (or lack of)
277	Correct	NA	Correct. No idea what test was used, but the context is the use of a "significant" statistical test to flag a potential problem that was followed up by further investigation.
281	Incorrect	2	 Could still be an important difference; no mention of power
284	Incorrect	2	 Although there's some discussion of considering the results regardless of significance, it still is being used as an important criteria
286	Incorrect	2	 There could still be an important difference and no idea of the size of the difference is given here
