Title	Document.URL	Court.Line	Citation	Filed.Date	Summary
Shea v. Kerry	https://www.westlaw.com/Document/Ied6658b73d3b11e590d4edf60ce7d742/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	796 F.3d 42	August 07, 2015	LABOR AND EMPLOYMENT - Discrimination. State Department's affirmative action plan did not unnecessarily trammel the rights of non-minority job applicants.
U.S. v. Carter	https://www.westlaw.com/Document/I67d70dcbd07e11e3b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fourth Circuit.	750 F.3d 462	April 30, 2014	CRIMINAL JUSTICE - Weapons. Prohibition on possession of firearms while being unlawful user of a controlled substance advanced goal of preventing gun violence.
U.S. v. Harkonen	https://www.westlaw.com/Document/I98c45fdc851511e280719c3f0e80bdd0/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	510 Fed.Appx. 633	March 04, 2013	CRIMINAL JUSTICE - Fraud. Evidence was sufficient to support wire fraud conviction for issuing fraudulent press release regarding clinical drug trials.
Bitton v. Gencor Nutrientes, Inc.	https://www.westlaw.com/Document/Id0554f403e0111e6accba36daa2dab8f/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	654 Fed.Appx. 358	June 28, 2016	LITIGATION - Evidence. The accuracy of statements in an online, user-edited encyclopedia was not a proper subject for judicial notice.
H.B. Rowe Co., Inc. v. Tippett	https://www.westlaw.com/Document/If54b13e5968111dfbe8a8e1700ec828b/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fourth Circuit.	615 F.3d 233	July 22, 2010	GOVERNMENT CONTRACTS - Bidding. North Carolina's Minority Business Enterprise Program, as it related to African Americans and Native Americans, did not violate equal protection.
Kleinman v. Elan Corp., plc	https://www.westlaw.com/Document/I5df3e12c6c9f11e28a21ccb9036b2470/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	706 F.3d 145	February 01, 2013	SECURITIES REGULATION - Fraud. Omissions from press release describing preliminary clinical trial results for drug did not render release false or misleading.
Siracusano v. Matrixx Initiatives, Inc.	https://www.westlaw.com/Document/I8bc95f6ac3e911de9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	585 F.3d 1167	October 28, 2009	SECURITIES REGULATION - Fraud. Investors pled scienter with requisite particularity under the Private Securities Litigation Reform Act.
Chin v. Port Authority of New York & New Jersey	https://www.westlaw.com/Document/Iea0a3c91cabb11e1b60ab297d3d07bc5/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	685 F.3d 135	July 10, 2012	Background: Eleven Asian Americans currently or formerly employed as police officers by a bi-state transportation agency brought action against the agency under Title VII, alleging that they were passed over for promotions because of their race. The United States District Court for the Southern District of New York, Miriam Goldman Cedarbaum, J.,...
In re Celexa and Lexapro Marketing and Sales Practices Litigation	https://www.westlaw.com/Document/Ife426590b95511e4a807ad48145ed9f1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	779 F.3d 34	February 20, 2015	PRODUCTS LIABILITY - Preemption. Federal Food, Drug, and Cosmetic Act's restrictions on changing FDA-approved labels preempted state consumer protection law claims.
Wells v. SmithKline Beecham Corp.	https://www.westlaw.com/Document/I0c90df9435e811df9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	601 F.3d 375	March 22, 2010	PRODUCTS LIABILITY - Warnings. Insufficient evidence was presented that use of drug could cause compulsive gambling.
Abbott Laboratories v. Sandoz, Inc.	https://www.westlaw.com/Document/Ib34aeaf19fa311ddb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	544 F.3d 1341	October 21, 2008	PATENTS - Injunction. Patentee had substantial likelihood of success on merits of claim that patents were not unenforceable for inequitable conduct.
U.S. ex rel. Jones v. Brigham and Women's Hosp.	https://www.westlaw.com/Document/I891faf49985611e1b66bbd5332e2d275/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	678 F.3d 72	May 07, 2012	GOVERNMENT - False Claims. Genuine issues of material fact precluded summary judgment in action under False Claims Act (FCA).
Milward v. Acuity Specialty Products Group, Inc.	https://www.westlaw.com/Document/Idf9d2cb354ad11e085acc3f6d5ffa172/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	639 F.3d 11	March 22, 2011	LITIGATION - Experts. Testimony by toxicology expert regarding causation between exposure to benzene and development of Leukemia was admissible.
In re Navy Chaplaincy	https://www.westlaw.com/Document/Ib21837036f1311e3a659df62eba144e8/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	738 F.3d 425	December 27, 2013	CIVIL RIGHTS - Religion. Statistics did not demonstrate pattern of discrimination motivated by discriminatory intent.
Brown v. Nucor Corp.	https://www.westlaw.com/Document/Ie97ae75af7e311e4b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fourth Circuit.	785 F.3d 895	May 11, 2015	LABOR AND EMPLOYMENT - Class Actions. Employees satisfied commonality requirement for class certification in their Title VII failure to promote action.
Senju Pharmaceutical Co. v. Lupin Ltd.	https://www.westlaw.com/Document/I81750449cef011e4a807ad48145ed9f1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	780 F.3d 1337	March 20, 2015	PATENTS - Drugs. District court properly determined patent claim for aqueous pharmaceutical composition was invalid for obviousness.
Tabor v. Hilti, Inc.	https://www.westlaw.com/Document/I29b486545f0811e2a531ef6793d44951/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Tenth Circuit.	703 F.3d 1206	January 15, 2013	LABOR AND EMPLOYMENT - Discrimination. Employee failed to show causal relationship between HR complaint and lowered rating, precluding Title VII retaliation claim.
Caterpillar Logistics Services, Inc. v. Solis	https://www.westlaw.com/Document/Ia133fff972cc11e1be29b2facdefeebe/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	674 F.3d 705	March 20, 2012	LABOR AND EMPLOYMENT - Occupational Safety. ALJ failed to consider employer's experience with department in determining that injury was work-related.
Karlo v. Pittsburgh Glass Works, LLC	https://www.westlaw.com/Document/I469d8490d7a611e6b27be1b44e7e7e5b/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	849 F.3d 61	January 10, 2017	LABOR AND EMPLOYMENT - Experts. Testimony of employees' expert on human resources practices lacked relevance to employees' ADEA disparate impact claim.
Detroit General Retirement System v. Medtronic, Inc.	https://www.westlaw.com/Document/I3581337ec16d11df952a80d2993fba83/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eighth Circuit.	621 F.3d 800	September 16, 2010	SECURITIES REGULATION - Fraud. Investors in medical device manufacturer failed to plead material falsity of challenged statements or omissions with particularity.
LeBlanc ex rel. Estate of LeBlanc v. Chevron USA, Inc.	https://www.westlaw.com/Document/I6beea738cda311df84cb933efb759da4/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	396 Fed.Appx. 94	September 23, 2010	TORTS - Experts. Proffered expert hematologist's opinion that exposure to benzene caused myelofibrosis with myeloid metaplasia (MMM) was not sufficiently reliable.
National Environmental Development Ass'n's Clean Air Project v. E.P.A.	https://www.westlaw.com/Document/Ie8411c5dd2aa11e1b60ab297d3d07bc5/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	686 F.3d 803	July 20, 2012	ENVIRONMENTAL LAW - Clean Air. National ambient air quality standard set for sulfur dioxide was not arbitrary and capricious.
Mississippi v. E.P.A.	https://www.westlaw.com/Document/I442e7853f3c111e2a160cacff148223f/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	723 F.3d 246	July 23, 2013	ENVIRONMENTAL LAW - Clean Air. Environmental Protection Agency properly considered body of scientific evidence in revising air quality standards for ozone.
Mississippi v. E.P.A.	https://www.westlaw.com/Document/I73827c23629411e3a341ea44e5e1f25f/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	744 F.3d 1334	December 11, 2013	ENVIRONMENTAL LAW - Clean Air. Environmental Protection Agency properly considered body of scientific evidence in revising air quality standards for ozone.
Novartis Pharmaceuticals Corp. v. Watson Laboratories, Inc.	https://www.westlaw.com/Document/I4d8f9764ffef11e4b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	611 Fed.Appx. 988	May 21, 2015	PATENTS - Drugs. Claims in patents directed to transdermal pharmaceutical formulations of rivastigmine were not invalid as obvious.
Latino Officers Ass'n City of New York, Inc. v. City of New York	https://www.westlaw.com/Document/I295a854e0a3b11deb7e683ba170699a5/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	558 F.3d 159	March 04, 2009	LITIGATION - Contempt. City officials were not in contempt of settlement order in employment discrimination class action.
Lewis v. Ascension Parish School Bd.	https://www.westlaw.com/Document/I6dfa88008e3e11e5a807ad48145ed9f1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	806 F.3d 344	November 17, 2015	EDUCATION - School Districts. Challenge to school redistricting plan was subject to rational basis review as parent could not show a racially discriminatory effect.
S.E.C. v. Morgan Keegan & Co., Inc.	https://www.westlaw.com/Document/I5e2a6fca946611e1b66bbd5332e2d275/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eleventh Circuit.	678 F.3d 1233	May 02, 2012	SECURITIES REGULATION - Fraud. Representations to individual investors could be material in SEC enforcement action.
Caterpillar Logistics, Inc. v. Perez	https://www.westlaw.com/Document/Ic7b76d9663be11e3a659df62eba144e8/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	737 F.3d 1117	December 12, 2013	Background: Employer filed petition for review of order of the Occupational Safety and Health Review Commission, 2011 WL 2732360, which assessed a penalty for failing to log employee's injury as a work-related injury. The Court of Appeals, 674 F.3d 705, vacated and remanded. On remand, the ALJ again sustained the penalty, 2012 WL 3875598, and the...
Avon Pension Fund v. GlaxoSmithKline PLC	https://www.westlaw.com/Document/Iff03c014918411de8bf6cd8525c41437/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	343 Fed.Appx. 671	August 24, 2009	SECURITIES REGULATION - Fraud. Officers' trading history did not support cogent and compelling inference of fraudulent intent.
Meditz v. City of Newark	https://www.westlaw.com/Document/Ib1ba5015e9fd11e0bc27967e57e99458/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	658 F.3d 364	September 28, 2011	LABOR AND EMPLOYMENT - Discrimination. Court applied wrong standards in considering statistical evidence in action challenging city's residency requirement.
Helsinn Healthcare S.A. v. Teva Pharmaceuticals USA, Inc.	https://www.westlaw.com/Document/Ib18d09d02e9311e79de0d9b9354e8e59/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	855 F.3d 1356	May 01, 2017	PATENTS - On-Sale Bar. Supply and purchase agreement for solution used to treat chemotherapy-induced nausea was sale of claimed invention under on-sale bar to patentability.
Jones ex rel. U.S. v. Massachusetts General Hosp.	https://www.westlaw.com/Document/I77ff7696cc1411e4b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	780 F.3d 479	March 16, 2015	GOVERNMENT - False Claims. Evidence was sufficient to support jury's verdict that physicians did not knowingly submit false data in government grant application.
New Jersey Carpenters Pension & Annuity Funds v. Biogen IDEC Inc.	https://www.westlaw.com/Document/I88937c9164b811dd9876f446780b7bdc/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	537 F.3d 35	August 07, 2008	SECURITIES REGULATION - Fraud. Securities fraud complaint failed to adequately plead scienter.
Ahern v. Shinseki	https://www.westlaw.com/Document/I5e5e32c706af11e080558336ea473530/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	629 F.3d 49	December 13, 2010	LABOR AND EMPLOYMENT - Discrimination. Female employees did not suffer retaliation.
Milward v. Rust-Oleum Corp.	https://www.westlaw.com/Document/If891fa7f0af511e6a795ac035416da91/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	820 F.3d 469	April 25, 2016	PRODUCTS LIABILITY - Experts. Court reasonably rejected expert's relative risk testimony in toxic tort action against manufacturer of benzene-containing paint.
Howe v. City of Akron	https://www.westlaw.com/Document/Icb512e3f5d3611e5b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Sixth Circuit.	801 F.3d 718	September 17, 2015	LABOR AND EMPLOYMENT - Discrimination. District court abused its discretion in excluding firefighters' expert's final back-pay calculations.
Braintree Laboratories, Inc. v. Novel Laboratories, Inc.	https://www.westlaw.com/Document/I50ccdcb5ca3411e3a795ac035416da91/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	749 F.3d 1349	April 22, 2014	PATENTS - Medical Devices and Procedures. Patent was not indefinite based on district court's use of the term copious in construction of the patent term purgation.
